"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-01","53","49",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-02","63","40",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-03","55","41","55"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-04","66","36","42"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-05","72","30","52"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-06","75","32",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-07","74","36",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-08","67","30",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-09","71","29",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-10","78","63","68"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-11","80","53","53"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-12","62","37",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-13","65","31","56"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-14","60","52","60"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-15","76","60",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-16","78","69","69"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-17","73","60","64"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-18","71","62",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-19","69","45",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-20","59","38","40"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-21","61","35","42"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-22","63","36","51"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-23","59","49","49"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-24","71","42",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-25","68","37",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-26","65","40",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-27","77","46","56"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-28","74","42",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-29","71","49",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-30","63","44",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-01-31","51","44",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-02-01","61","40","40"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-02-02","76","34",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2020-02-03","76","33","58"
